COD_AGENCIA;ZONA;AGENCIA
261;LIMA SUR;C.C. ATOCONGO       
262;LIMA MODERNA;LA PLANICIE         
263;PROVINCIA SUR;PUERTO MALDONADO    
264;PROVINCIA CENTRO ORIENTE;CONTENEDOR CHANCAY  
265;PROVINCIA NORTE;TUMBES              
266;PROVINCIA CENTRO ORIENTE;C.C. REAL PLAZA HYO 
267;PROVINCIA NORTE;PIURA               
268;PROVINCIA NORTE;MCDO.MODELO DE PIURA
269;LIMA ESTE;EL AGUSTINO         
270;PROVINCIA NORTE;TALARA              
271;PROVINCIA NORTE;PAITA               
273;PROVINCIA CENTRO ORIENTE;HUARAL              
274;PROVINCIA NORTE;SULLANA             
275;PROVINCIA CENTRO ORIENTE;HUACHO              
276;PROVINCIA CENTRO ORIENTE;BARRANCA            
277;PROVINCIA NORTE;CAJAMARCA           
278;EMPRESA;EMPRESA
279;EMPRESA;EMPRESA
280;EMPRESA;EMPRESA
281;PROVINCIA NORTE;JAEN                
282;LIMA OESTE;OVALO 200 MILLAS    
283;LIMA CENTRO;CC CYBER PLAZA      
284;LIMA NORTE;PLAZA LIMA NORTE    
285;PROVINCIA NORTE;CHICLAYO            
287;PROVINCIA NORTE;MCDO.MODELO CHICLAYO
288;PROVINCIA NORTE;MOSHOQUEQUE         
291;PROVINCIA NORTE;PACASMAYO           
295;PROVINCIA NORTE;CHIMBOTE            
297;PROVINCIA NORTE;MCDO.MODELO CHIMBOTE
299;PROVINCIA CENTRO ORIENTE;BELLAVISTA-SN MARTIN
301;PROVINCIA CENTRO ORIENTE;IQUITOS             
304;PROVINCIA CENTRO ORIENTE;BELEN               
305;EMPRESA;EMPRESA
306;PROVINCIA CENTRO ORIENTE;PUCALLPA            
307;EMPRESA;EMPRESA
310;PROVINCIA CENTRO ORIENTE;TARAPOTO            
311;EMPRESA;EMPRESA
312;LIMA NORTE;PRO                 
314;PROVINCIA CENTRO ORIENTE;MOYOBAMBA           
315;LIMA ESTE;BACKUS              
316;LIMA NORTE;PUENTE PIEDRA       
317;LIMA SUR;LIMA PLAZA SUR      
318;PROVINCIA CENTRO ORIENTE;TINGO MARIA         
319;LIMA NORTE;IZAGUIRRE           
320;LIMA CENTRO;ESSALUD             
321;PROVINCIA CENTRO ORIENTE;CERRO DE PASCO      
322;LIMA ESTE;CANTO GRANDE        
323;LIMA SUR;VILLA EL SALVADOR   
324;PROVINCIA CENTRO ORIENTE;YURIMAGUAS          
327;PROVINCIA CENTRO ORIENTE;JUANJUI             
328;LIMA MODERNA;EL POLO             
331;LIMA CENTRO;HOSPITAL ALMENARA   
332;LIMA ESTE;MCDO.PROD. STA ANITA
333;LIMA MODERNA;MIRAFLORES          
335;LIMA ESTE;EL PINO             
338;LIMA SUR;VARGAS MACHUCA      
339;LIMA OESTE;VENTANILLA          
340;LIMA CENTRO;GAMARRA         
341;LIMA ESTE;CANADA LA ROSA TORO 
342;LIMA NORTE;MULTIPLAZA          
343;LIMA NORTE;MEGA PLAZA 2        
344;LIMA OESTE;BIENESTAR MARINA    
345;LIMA ESTE;CHOSICA             
346;LIMA CENTRO;PARURO              
347;EMPRESA;EMPRESA
348;PROVINCIA NORTE;REAL PLAZA CHICLAYO 
349;EMPRESA;EMPRESA
350;EMPRESA;EMPRESA
351;LIMA CENTRO;RIVERA NAVARRETE    
352;LIMA MODERNA;LAS TIENDAS         
353;LIMA CENTRO;DOMINGO CUETO       
354;LIMA MODERNA;LAS BEGONIAS        
355;LIMA MODERNA;AVIACION            
356;LIMA CENTRO;PETIT THOUARS       
357;LIMA CENTRO;ORRANTIA            
358;LIMA MODERNA;SAN LUIS            
359;LIMA CENTRO;AV. CENTRAL         
360;LIMA MODERNA;JOCKEY PLAZA        
361;LIMA CENTRO; CONGRESO    
362;EMPRESA;EMPRESA
364;LIMA MODERNA;BASADRE             
366;LIMA MODERNA;CONQUISTADORES      
367;LIMA MODERNA;BENAVIDES           
368;LIMA MODERNA;RICARDO PALMA       
369;LIMA MODERNA;EL OLIVAR           
370;LIMA MODERNA;LIMATAMBO           
372;LIMA CENTRO;LOS ROBLES          
377;EMPRESA;EMPRESA
378;EMPRESA;EMPRESA
379;LIMA ESTE;AMBEV               
380;EMPRESA;EMPRESA
381;LIMA OESTE;ENAPU               
383;LIMA OESTE;FAUCETT 2           
384;EMPRESA;EMPRESA
385;LIMA CENTRO;NESTL-D-ONOFRIO    
387;LIMA MODERNA;CANAVAL MOREYRA     
388;LIMA OESTE;NEPTUNIA            
393;ADMINISTRATIVA;ADMINISTRATIVA
396;LIMA NORTE;COVIDA              
408;ADMINISTRATIVA;ADMINISTRATIVA
426;LIMA MODERNA;AV DEL EJERCITO     
427;PROVINCIA SUR;BOLOGNESI           
431;LIMA CENTRO;AVENIDA AREQUIPA    
440;ADMINISTRATIVA;ADMINISTRATIVA
469;MERCADOS;MERCADOS
480;LIMA OESTE;LA MARINA           
482;LIMA CENTRO;PLAZA UNION         
484;LIMA ESTE;HUAYCAN             
486;LIMA MODERNA;BEGONIAS
508;LIMA MODERNA;ANGAMOS OPEN PLAZA  
554;PROVINCIA NORTE;OPEN PLAZA PIURA    
564;LIMA SUR;PLAZA BUTTERS       
565;LIMA ESTE;SAN HILARION        
586;INVERSIONES;INVERSIONES
603;INVERSIONES;INVERSIONES
627;LIMA ESTE;SEDAPAL             
660;CENTRO NEGOCIOS;BANCA PATRIMONIAL   
661;EMPRESA;EMPRESA
701;ADMINISTRATIVA;ADMINISTRATIVA
706;CENTRO NEGOCIOS;ADMINISTRATIVA
708;MERCADOS;MERCADOS
713;LIMA MODERNA;CAMINOS DEL INCA    
717;PROVINCIA SUR;J.L.BUSTAMANTE Y RIV
729;LIMA SUR;JOSE GALVEZ         
732;LIMA CENTRO;SALAVERRY           
733;LIMA NORTE;PALAO               
747;LIMA NORTE;COLLIQUE            
749;LIMA SUR;PROSEGUR            
750;LIMA ESTE;SANTA CLARA
751;LIMA SUR;EL TRIGAL
753;PROVINCIA SUR;MINERA TITAN        
763;PROVINCIA SUR;EL PEDREGAL         
764;PROVINCIA SUR;MALL AVENT. PLZ AQP 
781;ADMINISTRATIVA;ADMINISTRATIVA
785;ADMINISTRATIVA;ADMINISTRATIVA
787;LIMA MODERNA;MONTEGRANDE         
792;LIMA CENTRO;NACIONES UNIDAS     
796;PROVINCIA NORTE;METRO SANTA ELENA   
824;ADMINISTRATIVA;ADMINISTRATIVA
831;ADMINISTRATIVA;ADMINISTRATIVA
850;ADMINISTRATIVA;ADMINISTRATIVA
864;ADMINISTRATIVA;ADMINISTRATIVA
870;PROVINCIA SUR;PARQUE LAMBRAMANI   
872;LIMA SUR;PARQUE DE LA AMISTAD
900;PROVINCIA NORTE;MALL PLAZA TRUJILLO 
910;EMPRESA;EMPRESA
918;PROVINCIA NORTE;REAL PLAZA TRUJILLO 
921;LIMA OESTE;LIMA CARGO CITY     
933;LIMA SUR;LURIN               
955;MERCADOS;MERCADOS
970;LIMA NORTE;NARANJAL            
AGENCIA;;
